citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
62 FR 19217, 97-10331,19218,"Amended by: EO 13652, September 30, 2013;
 Revokes: EO 12566, September 26, 1986",13043,https://www.federalregister.gov/documents/1997/04/18/97-10331/increasing-seat-belt-use-in-the-united-states,https://www.gpo.gov/fdsys/pkg/FR-1997-04-18/pdf/97-10331.pdf,04/18/1997,04/16/1997,19217,Increasing Seat Belt Use in the United States
62 FR 19665, 97-10605,19665,"Amends: EO 12752, February 25, 1991",13044,https://www.federalregister.gov/documents/1997/04/22/97-10605/amending-executive-order-12752-implementation-of-the-agricultural-trade-development-and-assistance,https://www.gpo.gov/fdsys/pkg/FR-1997-04-22/pdf/97-10605.pdf,04/22/1997,04/18/1997,19665,"Amending Executive Order 12752, Implementation of the Agricultural Trade Development and Assistance Act of 1954, as Amended, and the Food for Progress Act of 1985, as Amended"
62 FR 19885, 97-10695,19888,"Amended by: EO 13229, October 9, 2001; EO 13296, April 18, 2003",13045,https://www.federalregister.gov/documents/1997/04/23/97-10695/protection-of-children-from-environmental-health-risks-and-safety-risks,https://www.gpo.gov/fdsys/pkg/FR-1997-04-23/pdf/97-10695.pdf,04/23/1997,04/21/1997,19885,Protection of Children From Environmental Health Risks and Safety Risks
62 FR 27685, 97-13450,27685,"Amends: EO 12975, October 3, 1995;;
 ;  See: EO 13316, September 17, 2003",13046,https://www.federalregister.gov/documents/1997/05/20/97-13450/further-amendment-to-executive-order-12975-of-may-16-1997-extension-of-the-national-bioethics,https://www.gpo.gov/fdsys/pkg/FR-1997-05-20/pdf/97-13450.pdf,05/20/1997,05/16/1997,27685,"Further Amendment to Executive Order 12975 of May 16, 1997, Extension of the National Bioethics Advisory Commission"
62 FR 28301, 97-13704,28302,"Amended by: EO 13310, July 28, 2003
See: EO 13448, October 18, 2007; EO 13464, April 30, 2008; Notice of May 18, 1998; Notice of May 16, 2003; Notice of May 17, 2004; Notice of May 17, 2005; Notice of May 18, 2006; Notice of May 17, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010;  EO 13619, July 21, 2012
Revoked by: EO 13742, October 7, 2016",13047,https://www.federalregister.gov/documents/1997/05/22/97-13704/prohibiting-new-investment-in-burma,https://www.gpo.gov/fdsys/pkg/FR-1997-05-22/pdf/97-13704.pdf,05/22/1997,05/20/1997,28301,Prohibiting New Investment in Burma
62 FR 32467, 97-15828,32469,"Amended by: EO 13284, January 23, 2003;;
 ;  Revokes: EO 12552, February 25, 1986; EO 12637, April 27, 1988; EO 12816, October 14, 1992",13048,https://www.federalregister.gov/documents/1997/06/13/97-15828/improving-administrative-management-in-the-executive-branch,https://www.gpo.gov/fdsys/pkg/FR-1997-06-13/pdf/97-15828.pdf,06/13/1997,06/10/1997,32467,Improving Administrative Management in the Executive Branch
62 FR 32471, 97-15879,32471,"",13049,https://www.federalregister.gov/documents/1997/06/16/97-15879/organization-for-the-prohibition-of-chemical-weapons,https://www.gpo.gov/fdsys/pkg/FR-1997-06-16/pdf/97-15879.pdf,06/16/1997,06/11/1997,32471,Organization for the Prohibition of Chemical Weapons
62 FR 32987, 97-16080,32988,"",13050,https://www.federalregister.gov/documents/1997/06/17/97-16080/presidents-advisory-board-on-race,https://www.gpo.gov/fdsys/pkg/FR-1997-06-17/pdf/97-16080.pdf,06/17/1997,06/13/1997,32987,President's Advisory Board on Race
62 FR 34609, 97-16957,34610,"",13051,https://www.federalregister.gov/documents/1997/06/26/97-16957/internal-revenue-service-management-board,https://www.gpo.gov/fdsys/pkg/FR-1997-06-26/pdf/97-16957.pdf,06/26/1997,06/24/1997,34609,Internal Revenue Service Management Board
62 FR 35659, 97-17512,35659,"",13052,https://www.federalregister.gov/documents/1997/07/02/97-17512/hong-kong-economic-and-trade-offices,https://www.gpo.gov/fdsys/pkg/FR-1997-07-02/pdf/97-17512.pdf,07/02/1997,06/30/1997,35659,Hong Kong Economic and Trade Offices
62 FR 35945, 97-17566,35945,"Amends: EO 12852, June 29, 1993;;
 ;  Note: EO 13053 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",13053,https://www.federalregister.gov/documents/1997/07/02/97-17566/adding-members-to-and-extending-the-presidents-council-on-sustainable-development,https://www.gpo.gov/fdsys/pkg/FR-1997-07-02/pdf/97-17566.pdf,07/02/1997,06/30/1997,35945,Adding Members to and Extending the President's Council on Sustainable Development
62 FR 36965, 97-18288,36965,"Amended by: EO 13062, September 29, 1997",13054,https://www.federalregister.gov/documents/1997/07/10/97-18288/eligibility-of-certain-overseas-employees-for-noncompetitive-appointments,https://www.gpo.gov/fdsys/pkg/FR-1997-07-10/pdf/97-18288.pdf,07/10/1997,07/07/1997,36965,Eligibility of Certain Overseas Employees for Noncompetitive Appointments
62 FR 39099, 97-19341,39100,"",13055,https://www.federalregister.gov/documents/1997/07/21/97-19341/coordination-of-united-states-government-international-exchanges-and-training-programs,https://www.gpo.gov/fdsys/pkg/FR-1997-07-21/pdf/97-19341.pdf,07/21/1997,07/15/1997,39099,Coordination of United States Government International Exchanges and Training Programs
62 FR 39415, 97-19562,39415,"Amends: EO 13017, September 5, 1996;;
 ;  Note: EO 13056 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",13056,https://www.federalregister.gov/documents/1997/07/23/97-19562/further-amendment-to-executive-order-13017-advisory-commission-on-consumer-protection-and-quality-in,https://www.gpo.gov/fdsys/pkg/FR-1997-07-23/pdf/97-19562.pdf,07/23/1997,07/21/1997,39415,"Further Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry"
62 FR 41249, 97-20497,41250,"",13057,https://www.federalregister.gov/documents/1997/08/01/97-20497/federal-actions-in-the-lake-tahoe-region,https://www.gpo.gov/fdsys/pkg/FR-1997-08-01/pdf/97-20497.pdf,08/01/1997,07/26/1997,41249,Federal Actions in the Lake Tahoe Region
62 FR 43451, 97-21607,43452,"",13058,https://www.federalregister.gov/documents/1997/08/13/97-21607/protecting-federal-employees-and-the-public-from-exposure-to-tobacco-smoke-in-the-federal-workplace,https://www.gpo.gov/fdsys/pkg/FR-1997-08-13/pdf/97-21607.pdf,08/13/1997,08/09/1997,43451,Protecting Federal Employees and the Public From Exposure to Tobacco Smoke in the Federal Workplace
62 FR 44531, 97-22482,44533,"Revokes in part: EO 12613, October 29, 1987; EO 12957, March 15, 1995; EO 12959, May 6, 1995;;
 ;  See: Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13628, October 9, 2012",13059,https://www.federalregister.gov/documents/1997/08/21/97-22482/prohibiting-certain-transactions-with-respect-to-iran,https://www.gpo.gov/fdsys/pkg/FR-1997-08-21/pdf/97-22482.pdf,08/21/1997,08/19/1997,44531,Prohibiting Certain Transactions With Respect to Iran
62 FR 45139, 97-22703,45139,"",13060,https://www.federalregister.gov/documents/1997/08/25/97-22703/establishing-an-emergency-board-to-investigate-disputes-between-amtrak-and-its-employees-represented,https://www.gpo.gov/fdsys/pkg/FR-1997-08-25/pdf/97-22703.pdf,08/25/1997,08/21/1997,45139,Establishing an Emergency Board To Investigate Disputes Between Amtrak and its Employees Represented by the Brotherhood of Maintenance of Way Employes
62 FR 48445, 97-24591,48448,"Amended by: EO 13093, July 27, 1998",13061,https://www.federalregister.gov/documents/1997/09/15/97-24591/federal-support-of-community-efforts-along-american-heritage-rivers,https://www.gpo.gov/fdsys/pkg/FR-1997-09-15/pdf/97-24591.pdf,09/15/1997,09/11/1997,48445,Federal Support of Community Efforts Along American Heritage Rivers
62 FR 51755, 97-26364,51756,"Amends: EO 13038, March 11, 1997 (in part); EO 13054, July 7, 1997 (in part) ;;
 ;  Revokes: EO 12864, September 15, 1993; EO 12891, January 15, 1994; EO 12946, January 20, 1995; EO 12964, June 21, 1995; EO 13015, August 22, 1996;;
 ;  Supersedes: EO 12974, September 29, 1995;;
 ;  Amended by: EO 13065, October 22, 1997;;
 ;  Superseded by: EO 13138, September 30, 1999EO 13038, March 11, 1997 (in part); EO 13054, July 7, 1997 (in part);;
 ;  See:EO 13065, October 22, 1997;;
 ;  Note: EO 13062 is nullified in part by virtue of the Advisory Committee on Public Interest Obligations of Digital Television Broadcasters being abolished by EO 13138, September 30, 1999.",13062,https://www.federalregister.gov/documents/1997/10/02/97-26364/continuance-of-certain-federal-advisory-committees-and-amendments-to-executive-orders-13038-and,https://www.gpo.gov/fdsys/pkg/FR-1997-10-02/pdf/97-26364.pdf,10/02/1997,09/29/1997,51755,Continuance of Certain Federal Advisory Committees and Amendments to Executive Orders 13038 and 13054
62 FR 51757, 97-26365,51757,"Amends: EO 12154, September 4, 1979",13063,https://www.federalregister.gov/documents/1997/10/02/97-26365/level-v-of-the-executive-schedule-removal-of-the-executive-director-pension-benefit-guaranty,https://www.gpo.gov/fdsys/pkg/FR-1997-10-02/pdf/97-26365.pdf,10/02/1997,09/30/1997,51757,"Level V of the Executive Schedule: Removal of the Executive Director, Pension Benefit Guaranty Corporation, Department of Labor"
62 FR 53711, 97-27644,53711,"Amends: EO 13010, July 15, 1996;;
 ;  Note: EO 13064 is nullified in part by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13064,https://www.federalregister.gov/documents/1997/10/16/97-27644/further-amendment-to-executive-order-13010-as-amended-critical-infrastructure-protection,https://www.gpo.gov/fdsys/pkg/FR-1997-10-16/pdf/97-27644.pdf,10/16/1997,10/11/1997,53711,"Further Amendment to Executive Order 13010, as Amended, Critical Infrastructure Protection"
62 FR 55329, 97-28427,55329,"Amends: EO 13038, March 11, 1997;;
 ;  See:EO 13062, September 29, 1997;;
 ;  Note: EO 13065 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13065,https://www.federalregister.gov/documents/1997/10/24/97-28427/further-amendment-to-executive-order-13038-advisory-committee-on-public-interest-obligations-of,https://www.gpo.gov/fdsys/pkg/FR-1997-10-24/pdf/97-28427.pdf,10/24/1997,10/22/1997,55329,Further Amendment to Executive Order 13038 Advisory Committee on Public Interest Obligations of Digital Television Broadcasters
62 FR 59273, 97-29126,59273,"Amends: EO 13037, March 3, 1997;;
 ;  Note: EO 13066 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999.",13066,https://www.federalregister.gov/documents/1997/10/31/97-29126/amendment-to-executive-order-13037-commission-to-study-capital-budgeting,https://www.gpo.gov/fdsys/pkg/FR-1997-10-31/pdf/97-29126.pdf,10/31/1997,10/29/1997,59273,"Amendment to Executive Order 13037, Commission To Study Capital Budgeting"
62 FR 59989, 97-29464,59990,"See: Notice of October 27, 1998; Notice of October 29, 1999; Notice of October 31, 2000; Notice of October 31, 2001; Notice of October 29, 2002; Notice of October 29, 2003; Notice of November 1, 2004; Notice of November 1, 2005; EO 13400, April 26, 2006; Notice of November 1, 2006; Notice of November 1, 2007; Notice of October 30, 3008; Notice of October 27, 2009
Revoked in part by: EO 13761, January 13, 2017",13067,https://www.federalregister.gov/documents/1997/11/05/97-29464/blocking-sudanese-government-property-and-prohibiting-transactions-with-sudan,https://www.gpo.gov/fdsys/pkg/FR-1997-11-05/pdf/97-29464.pdf,11/05/1997,11/03/1997,59989,Blocking Sudanese Government Property and Prohibiting Transactions With Sudan
62 FR 63247, 97-31456,63247,"",13068,https://www.federalregister.gov/documents/1997/11/28/97-31456/closing-of-government-departments-and-agencies-on-friday-december-26-1997,https://www.gpo.gov/fdsys/pkg/FR-1997-11-28/pdf/97-31456.pdf,11/28/1997,11/25/1997,63247,"Closing of Government Departments and Agencies on Friday, December 26, 1997"
62 FR 65989, 97-33034,65990,"",13069,https://www.federalregister.gov/documents/1997/12/16/97-33034/prohibiting-certain-transactions-with-respect-to-unita,https://www.gpo.gov/fdsys/pkg/FR-1997-12-16/pdf/97-33034.pdf,12/16/1997,12/12/1997,65989,Prohibiting Certain Transactions With Respect to UNITA
62 FR 66493, 97-33299,66493,"Amends: EO 12863, September 13, 1993;;
 ;  Amended by: EO 13301, May 14, 2003;;
 ;  See: EO 13376, April 13, 2005",13070,https://www.federalregister.gov/documents/1997/12/18/97-33299/the-intelligence-oversight-board-amendment-to-executive-order-12863,https://www.gpo.gov/fdsys/pkg/FR-1997-12-18/pdf/97-33299.pdf,12/18/1997,12/15/1997,66493,"The Intelligence Oversight Board, Amendment to Executive Order 12863"
62 FR 68521, 97-34224,68530,"Supersedes: EO 13033, December 27, 1996;;
 ;  Superseded by: EO 13106, December 7, 1998",13071,https://www.federalregister.gov/documents/1997/12/31/97-34224/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-1997-12-31/pdf/97-34224.pdf,12/31/1997,12/29/1997,68521,Adjustments of Certain Rates of Pay
63 FR 6041, 98-3135,6043,"",13072,https://www.federalregister.gov/documents/1998/02/05/98-3135/white-house-millennium-council,https://www.gpo.gov/fdsys/pkg/FR-1998-02-05/pdf/98-3135.pdf,02/05/1998,02/02/1998,6041,White House Millennium Council
63 FR 6467, 98-3229,6468,"Amended by: EO 13127, June 14, 1999",13073,https://www.federalregister.gov/documents/1998/02/06/98-3229/year-2000-conversion,https://www.gpo.gov/fdsys/pkg/FR-1998-02-06/pdf/98-3229.pdf,02/06/1998,02/04/1998,6467,Year 2000 Conversion
63 FR 7277, 98-3847,7277,"Amends: EO 12656, November 18, 1988;;
 ;  Note: This Executive order is concerned with force deployment with respect to evacuation of U.S. citizens in threatened areas overseas.",13074,https://www.federalregister.gov/documents/1998/02/12/98-3847/amendment-to-executive-order-12656,https://www.gpo.gov/fdsys/pkg/FR-1998-02-12/pdf/98-3847.pdf,02/12/1998,02/09/1998,7277,Amendment to Executive Order 12656
63 FR 9085, 98-4816,9086,"Revoked by: EO 13225, September 28, 2001",13075,https://www.federalregister.gov/documents/1998/02/24/98-4816/special-oversight-board-for-department-of-defense-investigations-of-gulf-war-chemical-and-biological,https://www.gpo.gov/fdsys/pkg/FR-1998-02-24/pdf/98-4816.pdf,02/24/1998,02/19/1998,9085,Special Oversight Board for Department of Defense Investigations of Gulf War Chemical and Biological Incidents
63 FR 9719, 98-5119,9719,"Amended by: EO 13286, February 28, 2003;;
 ;  See: Proc. 6867, March 1, 1996",13076,https://www.federalregister.gov/documents/1998/02/26/98-5119/ordering-the-selected-reserve-of-the-armed-forces-to-active-duty,https://www.gpo.gov/fdsys/pkg/FR-1998-02-26/pdf/98-5119.pdf,02/26/1998,02/24/1998,9719,Ordering the Selected Reserve of the Armed Forces to Active Duty
63 FR 12381, 98-6628,12381,"Amends: EO 13010, July 15, 1996;;
 ;  Note: EO 13077 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13077,https://www.federalregister.gov/documents/1998/03/12/98-6628/further-amendment-to-executive-order-13010-critical-infrastructure-protection,https://www.gpo.gov/fdsys/pkg/FR-1998-03-12/pdf/98-6628.pdf,03/12/1998,03/10/1998,12381,"Further Amendment to Executive Order 13010, Critical Infrastructure Protection"
63 FR 13111, 98-7139,13113,"Amended by: EO 13172, October 25, 2000; EO 13187, January 10, 2001; EO 13583, August 18, 2011",13078,https://www.federalregister.gov/documents/1998/03/18/98-7139/increasing-employment-of-adults-with-disabilities,https://www.gpo.gov/fdsys/pkg/FR-1998-03-18/pdf/98-7139.pdf,03/18/1998,03/13/1998,13111,Increasing Employment of Adults With Disabilities
63 FR 17309, 98-9599,17309,"",13079,https://www.federalregister.gov/documents/1998/04/09/98-9599/waiver-under-the-trade-act-of-1974-with-respect-to-vietnam,https://www.gpo.gov/fdsys/pkg/FR-1998-04-09/pdf/98-9599.pdf,04/09/1998,04/07/1998,17309,Waiver Under The Trade Act Of 1974 With Respect to Vietnam
63 FR 17667, 98-9709,17668,"Amended by: EO 13093, July 27, 1998;;
 ;  Revoked by: EO 13225, September 28, 2001",13080,https://www.federalregister.gov/documents/1998/04/10/98-9709/american-heritage-rivers-initiative-advisory-committee,https://www.gpo.gov/fdsys/pkg/FR-1998-04-10/pdf/98-9709.pdf,04/10/1998,04/07/1998,17667,American Heritage Rivers Initiative Advisory Committee
63 FR 24385, 98-11922,24385,"Amends: EO 13038, March 11, 1997;;
 ;  Note: EO 13081 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13081,https://www.federalregister.gov/documents/1998/05/04/98-11922/amendment-to-executive-order-no-13038-advisory-committee-on-public-interest-obligations-of-digital,https://www.gpo.gov/fdsys/pkg/FR-1998-05-04/pdf/98-11922.pdf,05/04/1998,04/30/1998,24385,"Amendment to Executive Order No. 13038, Advisory Committee on Public Interest Obligations of Digital Television Broadcasters"
63 FR 26709, 98-12963,26709,"Amends: EO 9080, February 27, 1942;;
 ;  See: EO 10692, December 22, 1956; EO 12377, August 6, 1982",13082,https://www.federalregister.gov/documents/1998/05/13/98-12963/joint-mexican-united-states-defense-commission,https://www.gpo.gov/fdsys/pkg/FR-1998-05-13/pdf/98-12963.pdf,05/13/1998,05/08/1998,26709,Joint Mexican-United States Defense Commission
63 FR 27651, 98-13552,27654,"Supplements: EO 12866, September 30, 1993; EO 12988, February 5, 1996;;
 ;  Revokes: EO 12612, October 26, 1987; EO 12875, October 26, 1993;;
 ;  Suspended by: EO 13095, August 5, 1998;;
 ;  See: EO 13084, May 14, 1998; Public Law 105-277 (sec. 425);;
 ;  Revoked by: EO 13132, August 4, 1999",13083,https://www.federalregister.gov/documents/1998/05/19/98-13552/federalism,https://www.gpo.gov/fdsys/pkg/FR-1998-05-19/pdf/98-13552.pdf,05/19/1998,05/14/1998,27651,Federalism
63 FR 27655, 98-13553,27657,"Supplements: EO 12866, September 30, 1993; EO 12988, February 5, 1996; Memorandum of April 29, 1994 (Government-to-Government Relations With Native American Tribal Governments);;
 ;  Revoked by: EO 13175, November 6, 2000;;
 ;  See: EO 13083, May 14, 1998",13084,https://www.federalregister.gov/documents/1998/05/19/98-13553/consultation-and-coordination-with-indian-tribal-governments,https://www.gpo.gov/fdsys/pkg/FR-1998-05-19/pdf/98-13553.pdf,05/19/1998,05/14/1998,27655,Consultation and Coordination With Indian Tribal Governments
63 FR 29335, 98-14407,29337,"",13085,https://www.federalregister.gov/documents/1998/05/28/98-14407/establishment-of-the-enrichment-oversight-committee,https://www.gpo.gov/fdsys/pkg/FR-1998-05-28/pdf/98-14407.pdf,05/28/1998,05/26/1998,29335,Establishment of the Enrichment Oversight Committee
63 FR 30065, 98-14688,30095,"Amends: EO 12473, April 13, 1984;;
 ;  See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12936, November 10, 1994; EO 12960, May 12, 1995; EO 13140, October 6, 1999",13086,https://www.federalregister.gov/documents/1998/06/02/98-14688/1998-amendments-to-the-manual-for-courts-martial-united-states,https://www.gpo.gov/fdsys/pkg/FR-1998-06-02/pdf/98-14688.pdf,06/02/1998,05/27/1998,30065,"1998 Amendments to the Manual for Courts-Martial, United States"
63 FR 30097, 98-14689,30097,"Amends: EO 11478, August 8, 1969;;
 ;  See: Proc. 7316, June 2, 2000 (65 FR 36051);;
 ;  Note: This Executive order expands equal employment policy in the Federal Government by prohibiting discrimination based on sexual orientation.",13087,https://www.federalregister.gov/documents/1998/06/02/98-14689/further-amendment-to-executive-order-11478-equal-employment-opportunity-in-the-federal-government,https://www.gpo.gov/fdsys/pkg/FR-1998-06-02/pdf/98-14689.pdf,06/02/1998,05/28/1998,30097,"Further Amendment to Executive Order 11478, Equal Employment Opportunity in the Federal Government"
63 FR 32109, 98-15888,32111,"Amended by: EO 13121, April 30, 1999; EO 13192, January 17, 2001;;
 ;  See: Notice of May 25, 2000; Notice of May 24, 2001;;
 ;  Revoked by: EO 13304, May 28, 2003",13088,https://www.federalregister.gov/documents/1998/06/12/98-15888/blocking-property-of-the-governments-of-the-federal-republic-of-yugoslavia-serbia-and-montenegro-the,https://www.gpo.gov/fdsys/pkg/FR-1998-06-12/pdf/98-15888.pdf,06/12/1998,06/09/1998,32109,"Blocking Property of the Governments of the Federal Republic of Yugoslavia (Serbia and Montenegro), the Republic of Serbia, and the Republic of Montenegro, and Prohibiting New Investment in the Republic of Serbia in Response to the Situation in Kosovo"
63 FR 32701, 98-16161,32703,"See: EO 13178, December 4, 2000",13089,https://www.federalregister.gov/documents/1998/06/16/98-16161/coral-reef-protection,https://www.gpo.gov/fdsys/pkg/FR-1998-06-16/pdf/98-16161.pdf,06/16/1998,06/11/1998,32701,Coral Reef Protection
63 FR 36151, 98-17828,36152,"Amended by: EO 13136, September 3, 1999;;
 ;  Revoked by: EO 13225, September 28, 2001",13090,https://www.federalregister.gov/documents/1998/07/02/98-17828/presidents-commission-on-the-celebration-of-women-in-american-history,https://www.gpo.gov/fdsys/pkg/FR-1998-07-02/pdf/98-17828.pdf,07/02/1998,06/29/1998,36151,President's Commission on the Celebration of Women in American History
63 FR 36153, 98-17829,36154,"Amends: EO 11958, January 18, 1977; EO 12163, September 29, 1979",13091,https://www.federalregister.gov/documents/1998/07/02/98-17829/administration-of-arms-export-controls-and-foreign-assistance,https://www.gpo.gov/fdsys/pkg/FR-1998-07-02/pdf/98-17829.pdf,07/02/1998,06/29/1998,36153,Administration of Arms Export Controls and Foreign Assistance
63 FR 40167, 98-20315,40167,"Amends: EO 13035, February 11, 1997;;
 ;  See: EO 13200, February 11, 2001; EO 13215, May 31, 2001",13092,https://www.federalregister.gov/documents/1998/07/28/98-20315/presidents-information-technology-advisory-committee-amendments-to-executive-order-13035,https://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20315.pdf,07/28/1998,07/24/1998,40167,"President's Information Technology Advisory Committee, Amendments to Executive Order 13035"
63 FR 40357, 98-20450,40357,"Amends: EO 13061, September 11, 1997; EO 13080, April 30, 1998",13093,https://www.federalregister.gov/documents/1998/07/29/98-20450/american-heritage-rivers-amending-executive-order-13061-and-13080,https://www.gpo.gov/fdsys/pkg/FR-1998-07-29/pdf/98-20450.pdf,07/29/1998,07/27/1998,40357,"American Heritage Rivers, Amending Executive Order 13061 and 13080"
63 FR 40803, 98-20590,40804,"Amends: EO 12938, November 14, 1994;;
 ;  See: Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; EO 13382, June 28, 2005; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009",13094,https://www.federalregister.gov/documents/1998/07/30/98-20590/proliferation-of-weapons-of-mass-destruction,https://www.gpo.gov/fdsys/pkg/FR-1998-07-30/pdf/98-20590.pdf,07/30/1998,07/28/1998,40803,Proliferation of Weapons of Mass Destruction
63 FR 42565, 98-21400,42565,"Suspends: EO 13083, May 14, 1998;;
 ;  Note: Suspends Executive order dealing with new federalism provisions.;;
 ;  Revoked by: EO 13132, August 4, 1999",13095,https://www.federalregister.gov/documents/1998/08/07/98-21400/suspension-of-executive-order-13083,https://www.gpo.gov/fdsys/pkg/FR-1998-08-07/pdf/98-21400.pdf,08/07/1998,08/05/1998,42565,Suspension of Executive Order 13083
63 FR 42681, 98-21643,42684,"See: Proc. 7246, October 30, 1999.;;
 ;  Revoked by: EO 13336, April 30, 2004",13096,https://www.federalregister.gov/documents/1998/08/11/98-21643/american-indian-and-alaska-native-education,https://www.gpo.gov/fdsys/pkg/FR-1998-08-11/pdf/98-21643.pdf,08/11/1998,08/06/1998,42681,American Indian and Alaska Native Education
63 FR 43065, 98-21710,43065,"",13097,https://www.federalregister.gov/documents/1998/08/11/98-21710/interparliamentary-union,https://www.gpo.gov/fdsys/pkg/FR-1998-08-11/pdf/98-21710.pdf,08/11/1998,08/07/1998,43065,Interparliamentary Union
63 FR 44771, 98-22595,44772,"See: EO 12865, September 26, 1993; Notice of September 22, 2000; Notice of September 24, 2001; Notice of September 23, 2002 (67 FR 60105);;
 ;  Revoked by: EO 13298, May 6, 2003",13098,https://www.federalregister.gov/documents/1998/08/20/98-22595/blocking-property-of-unita-and-prohibitingcertain-transactions-with-respect-to-unita,https://www.gpo.gov/fdsys/pkg/FR-1998-08-20/pdf/98-22595.pdf,08/20/1998,08/18/1998,44771,Blocking Property of UNITA and ProhibitingCertain Transactions With Respect to UNITA
63 FR 45167, 98-22940,45167,"Amends: EO 12947, January 23, 1995;;
 ;  See: EO 13371, February 16, 2005; Notice of January 19, 2000; Notice of January 19, 2001; Notice of January 18, 2002; Notice of January 20, 2003; Notice of January 16, 2004; Notice of January 17, 2005; Notice of January 18, 2006; Notice of January 18, 2007; Notice of January 18, 2008; Notice of January 15, 2009; Notice of January 20, 2010",13099,https://www.federalregister.gov/documents/1998/08/25/98-22940/prohibiting-transactions-with-terrorists-who-threaten-to-disrupt-the-middle-east-peace-process,https://www.gpo.gov/fdsys/pkg/FR-1998-08-25/pdf/98-22940.pdf,08/25/1998,08/20/1998,45167,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process
63 FR 45661, 98-23258,45662,"Amended by: EO 13286, February 28, 2003",13100,https://www.federalregister.gov/documents/1998/08/27/98-23258/presidents-council-on-food-safety,https://www.gpo.gov/fdsys/pkg/FR-1998-08-27/pdf/98-23258.pdf,08/27/1998,08/25/1998,45661,President's Council on Food Safety
63 FR 49643, 98-25023,49651,"Revokes: EO 12873, October 20, 1993;;
 ;  Revoked by: EO 13423, January 24, 2007;;
 ;  See: EO 12843, April 21, 1993; EO 12845, April 21, 1993; EO 12856, August 3, 1993; EO 12902, March 8, 1994; EO 12969, August 8, 1995; EO 13031, December 13, 1996; EO 13148, April 21, 2000; EO 13149, April 21, 2000; Proc. 7250, November 15, 1999",13101,https://www.federalregister.gov/documents/1998/09/16/98-25023/greening-the-government-through-waste-prevention-recycling-and-federal-acquisition,https://www.gpo.gov/fdsys/pkg/FR-1998-09-16/pdf/98-25023.pdf,09/16/1998,09/14/1998,49643,"Greening the Government Through Waste Prevention, Recycling, and Federal Acquisition"
63 FR 52125, 98-26250,52125,"Amends: EO 13038, March 11, 1997;;
 ;  Note: EO 13102 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13102,https://www.federalregister.gov/documents/1998/09/29/98-26250/further-amendment-to-executive-order-13038-advisory-committee-on-public-interest-obligations-of,https://www.gpo.gov/fdsys/pkg/FR-1998-09-29/pdf/98-26250.pdf,09/29/1998,09/25/1998,52125,"Further Amendment to Executive Order 13038, Advisory Committee on Public Interest Obligations of Digital Television Broadcasters"
63 FR 53273, 98-26799,53274,"See: EO 13011, July 16, 1996",13103,https://www.federalregister.gov/documents/1998/10/05/98-26799/computer-software-piracy,https://www.gpo.gov/fdsys/pkg/FR-1998-10-05/pdf/98-26799.pdf,10/05/1998,09/30/1998,53273,Computer Software Piracy
63 FR 56535, 98-28471,56535,"Amends: EO 13021, October 19, 1996",13104,https://www.federalregister.gov/documents/1998/10/22/98-28471/amendment-to-executive-order-13021-tribal-colleges-and-universities,https://www.gpo.gov/fdsys/pkg/FR-1998-10-22/pdf/98-28471.pdf,10/22/1998,10/19/1998,56535,"Amendment to Executive Order 13021, Tribal Colleges and Universities"
63 FR 60201, 98-30054,60201,"",13105,https://www.federalregister.gov/documents/1998/11/06/98-30054/open-enrollment-season-for-participants-in-the-foreign-service-retirement-and-disability-system-and,https://www.gpo.gov/fdsys/pkg/FR-1998-11-06/pdf/98-30054.pdf,11/06/1998,11/02/1998,60201,Open Enrollment Season for Participants in the Foreign Service Retirement and Disability System and the Central Intelligence Agency Retirement and Disability System
